Category	Name	Duration
Boats_Ships/Oar_Boat	Oar Boat (12)	4.7s
Boats_Ships/Oar_Boat	Oar Boat (13)	4.13s
Boats_Ships/Sails	Sails (1)	2.79s
Boats_Ships/Sails	Sails (2)	5.93s
Boats_Ships/Sails	Sails (3)	6.82s
Boats_Ships/Sails	Sails (4)	4.26s
Boats_Ships/Sails	Sails (5)	1.72s
Boats_Ships/Sails	Sails (6)	4.68s
Boats_Ships/Sails	Sails (7)	5.09s
Boats_Ships/Sails	Sails (8)	2.61s
Boats_Ships/Sails	Sails (9)	3.63s
Boats_Ships/Sails	Sails (10)	3.5s
Boats_Ships/Sails	Sails (11)	5.07s
Boats_Ships/Sails	Sails (12)	4.15s
Boats_Ships/Sails	Sails (13)	3.87s
Boats_Ships/Sails	Sails (14)	3.58s
Boats_Ships/Splashing_Rowboat	Oars Splashing Rowboat (1)	3.69s
Boats_Ships/Splashing_Rowboat	Rowboat Canoe (1)	3.92s
Boats_Ships/Splashing_Rowboat	Rowboat Canoe (2)	4.86s
Boats_Ships/Splashing_Rowboat	Rowboat Canoe (3)	2.46s
Boats_Ships/Splashing_Rowboat	Rowboat Canoe (4)	4.65s
Boats_Ships/Splashing_Rowboat	Rowboat Canoe (5)	1.67s
Boats_Ships/Splashing_Rowboat	Rowboat Canoe (6)	4.99s
Boats_Ships/Splashing_Rowboat	Splash Water (1)	5.46s
Boats_Ships/Splashing_Rowboat	Splash Water (2)	3.32s
Boats_Ships/Splashing_Rowboat	Splash Water (3)	2.85s
Boats_Ships/Splashing_Rowboat	Wood Boat (1)	4.75s
Boats_Ships/Submarine_Diesel	Submarine Diesel (1)	8.07s
Boats_Ships/Submarine_Diesel	Submarine Diesel (2)	6.11s
Boats_Ships/Submarine_Diesel	Submarine Diesel (3)	6.19s
Boats_Ships/Submarine_Diesel	Submarine Diesel (4)	4.68s
Boats_Ships/Submarine_Diesel	Submarine Diesel (5)	2.69s
Boats_Ships/Submarine_Diesel	Submarine Diesel (6)	4.6s
Boats_Ships/Submarine_Diesel	Submarine Diesel (7)	4.7s
Boats_Ships/Submarine_Diesel	Submarine Diesel (8)	4.78s
Boats_Ships/Submarine_Diesel	Submarine Diesel (9)	5.07s
Boats_Ships/Submarine_Diesel	Submarine Diesel (10)	3.84s
Boats_Ships/Wood_Boat	Wood Boat (1)	5.64s
Boats_Ships/Wood_Boat	Wood Boat (2)	4.88s
Boats_Ships/Wood_Boat	Wood Boat (3)	5.07s
Boats_Ships/Wood_Boat	Wood Boat (4)	4.65s
Boats_Ships/Wood_Boat	Wood Boat (5)	4.96s
Buzzers_Pistols	Buzz Electronic (1)	1.03s
Buzzers_Pistols	Buzzer Loud Alarm (1)	2.29s
Buzzers_Pistols	Buzzer Small (1)	1.14s
Buzzers_Pistols	Buzzers Pistols (1)	1.15s
Buzzers_Pistols	Buzzers Pistols (2)	0.99s
Buzzers_Pistols	Buzzers Pistols (3)	0.99s
Buzzers_Pistols	Buzzers Pistols (4)	1.51s
Buzzers_Pistols	Buzzers Pistols (5)	1.25s
Buzzers_Pistols	Buzzers Pistols (6)	2.46s
Buzzers_Pistols	Buzzers Pistols (7)	1.25s
Buzzers_Pistols	Buzzers Pistols (8)	2.77s
Buzzers_Pistols	Buzzers Pistols (9)	0.44s
Buzzers_Pistols	Buzzers Pistols (10)	1.78s
Buzzers_Pistols	Buzzers Pistols (11)	0.99s
Buzzers_Pistols	Buzzers Pistols (12)	2.35s
Buzzers_Pistols	Buzzers Pistols (13)	1.54s
Buzzers_Pistols	Buzzers Pistols (14)	1.93s
Buzzers_Pistols	Buzzers Pistols (15)	0.86s
Camera	Camera (1)	1.18s
Camera	Camera (2)	2.01s
Camera	Camera (3)	2.06s
Camera	Camera (4)	0.57s
Camera	Camera (5)	0.99s
Camera	Camera (6)	1.02s
Camera	Camera (7)	2.12s
Camera	Camera (8)	1.36s
Camera	Camera (9)	1.12s
Camera	Camera (10)	1.41s
Camera	Camera (11)	3.03s
Camera	Camera (12)	1.49s
Camera	Camera (13)	1.04s
Camera	Camera (14)	4.18s
Camera	Camera (15)	1.59s
Cartoon	Beep 1x (1)	0.78s
Cartoon	Boing Long 1x (1)	1.57s
Cartoon	Boing Med 1x (2)	0.99s
Cartoon	Boing Short 1x (1)	0.81s
Cartoon	Swoosh Cartoon Fast (1)	1.39s
Cartoon	Swoosh Cartoon Fast (2)	2.11s
Chairs/Seats_Stools	Seats Stools (1)	1.44s
Chairs/Seats_Stools	Seats Stools (2)	3.06s
Chairs/Seats_Stools	Seats Stools (3)	1.12s
Chairs/Seats_Stools	Seats Stools (4)	1.91s
Chairs/Seats_Stools	Seats Stools (5)	0.94s
Chairs/Seats_Stools	Seats Stools (6)	0.57s
Chairs/Seats_Stools	Seats Stools (7)	1.83s
Chairs/Seats_Stools	Seats Stools (8)	0.89s
Chairs/Seats_Stools	Seats Stools (9)	1.62s
Clocks/Clock	Clock (1)	2.17s
Clocks/Ticks	Clock Ticking (1)	1.35s
Clocks/Ticks	Clock Ticking Long (1)	4.09s
Clocks/Ticks	Ticks (1)	6.48s
Clocks/Ticks	Ticks (2)	5.72s
Clocks/Ticks	Ticks (3)	4.13s
Clocks/Ticks	Ticks (4)	3.34s
Clocks/Ticks	Ticks (5)	4.1s
Clocks/Ticks	Ticks (6)	2.14s
Clocks/Ticks	Ticks (7)	3.11s
Clocks/Ticks	Ticks (8)	3.29s
Clocks/Ticks	Ticks (9)	2.12s
Clocks/Ticks	Ticks (10)	2.93s
Clocks/Ticks	Ticks (11)	3.66s
Clocks/Ticks	Ticks (12)	3.63s
Clocks/Ticks	Ticks (13)	4.13s
Clocks/Ticks	Ticks (14)	4.15s
Clocks/Ticks	Ticks (15)	3.45s
Clocks/Ticks	Ticks (16)	1.57s
Clocks/Ticks	Ticks (17)	2.61s
Clocks/Ticks	Ticks (18)	2.01s
Clocks/Watches	Watches (1)	1.78s
Clocks/Watches	Watches (2)	1.41s
Clocks/Watches	Watches (3)	1.49s
Clocks/Watches	Watches (4)	2.01s
Clocks/Watches	Watches (5)	2.01s
Clocks/Watches	Watches (6)	0.44s
Clocks/Watches	Watches (7)	2.77s
Clocks/Watches	Watches (8)	1.23s
Cloth_Leather_Paper/Books	Books (1)	2.72s
Cloth_Leather_Paper/Books	Books (2)	2.38s
Cloth_Leather_Paper/Books	Books (3)	2.85s
Cloth_Leather_Paper/Books	Books (4)	1.75s
Cloth_Leather_Paper/Books	Books (5)	1.88s
Cloth_Leather_Paper/Books	Books (6)	1.18s
Cloth_Leather_Paper/Books	Books (7)	0.78s
Cloth_Leather_Paper/Books	Books (8)	1.04s
Cloth_Leather_Paper/Books	Books (9)	2.66s
Cloth_Leather_Paper/Books	Books (10)	1.65s
Cloth_Leather_Paper/Books	Books (11)	1.23s
Cloth_Leather_Paper/Cloth	Cloth (1)	3.34s
Cloth_Leather_Paper/Cloth	Cloth (2)	3.27s
Cloth_Leather_Paper/Cloth	Cloth (3)	2.9s
Cloth_Leather_Paper/Cloth	Cloth (4)	1.62s
Cloth_Leather_Paper/Cloth	Cloth (5)	2.22s
Cloth_Leather_Paper/Cloth	Cloth (6)	4.49s
Cloth_Leather_Paper/Cloth	Cloth (7)	1.1s
Cloth_Leather_Paper/Cloth	Cloth (8)	2.27s
Cloth_Leather_Paper/Cloth	Cloth (9)	1.23s
Cloth_Leather_Paper/Cloth	Cloth (10)	1.93s
Cloth_Leather_Paper/Cloth	Cloth (11)	0.81s
Cloth_Leather_Paper/Cloth	Cloth (12)	1.36s
Cloth_Leather_Paper/Cloth	Cloth (13)	2.35s
Cloth_Leather_Paper/Cloth	Cloth (14)	1.51s
Cloth_Leather_Paper/Flags	Flags (1)	6.01s
Cloth_Leather_Paper/Flags	Flags (2)	4.65s
Cloth_Leather_Paper/Flags	Flags (3)	4.47s
Cloth_Leather_Paper/Flags	Flags (4)	5.22s
Cloth_Leather_Paper/Flags	Flags (5)	2.9s
Cloth_Leather_Paper/Flags	Flags (6)	2.95s
Cloth_Leather_Paper/Flags	Flags (7)	4.26s
Cloth_Leather_Paper/Flags	Flags (8)	3.74s
Cloth_Leather_Paper/Flags	Flags (9)	2.64s
Cloth_Leather_Paper/Flags	Flags (10)	4.15s
Cloth_Leather_Paper/Flags	Flags (11)	1.88s
Cloth_Leather_Paper/Flags	Flags (12)	3.45s
Cloth_Leather_Paper/Leather	Leather (1)	1.85s
Cloth_Leather_Paper/Leather	Leather (2)	2.4s
Cloth_Leather_Paper/Leather	Leather (3)	3.08s
Cloth_Leather_Paper/Leather	Leather (4)	1.67s
Cloth_Leather_Paper/Leather	Leather (5)	1.51s
Cloth_Leather_Paper/Leather	Leather (6)	3.21s
Cloth_Leather_Paper/Leather	Leather (7)	1.12s
Cloth_Leather_Paper/Leather	Leather (8)	1.23s
Cloth_Leather_Paper/Leather	Leather (9)	4.86s
Cloth_Leather_Paper/Money_Coins	Money Coins (1)	4.26s
Cloth_Leather_Paper/Money_Coins	Money Coins (2)	3s
Cloth_Leather_Paper/Money_Coins	Money Coins (3)	1.78s
Cloth_Leather_Paper/Money_Coins	Money Coins (4)	2.12s
Cloth_Leather_Paper/Money_Coins	Money Coins (5)	1.18s
Cloth_Leather_Paper/Money_Coins	Money Coins (6)	3.53s
Cloth_Leather_Paper/Paper	Paper (1)	1.02s
Cloth_Leather_Paper/Paper	Paper (2)	1.7s
Cloth_Leather_Paper/Paper	Paper (3)	1.07s
Cloth_Leather_Paper/Paper	Paper (4)	1.65s
Cloth_Leather_Paper/Paper	Paper (5)	0.57s
Cloth_Leather_Paper/Paper	Paper (6)	3.21s
Cloth_Leather_Paper/Paper	Paper (7)	1.59s
Cloth_Leather_Paper/Paper	Paper (8)	2.27s
Cloth_Leather_Paper/Paper	Paper (9)	1.85s
Cloth_Leather_Paper/Paper	Paper (10)	1.38s
Cloth_Leather_Paper/Paper	Paper (11)	3.66s
Cloth_Leather_Paper/Paper	Paper (12)	0.78s
Cloth_Leather_Paper/Paper	Paper (13)	0.89s
Cloth_Leather_Paper/Paper	Paper (14)	4.02s
Cloth_Leather_Paper/Paper	Paper (15)	2.27s
Cloth_Leather_Paper/Paper	Paper (16)	2.09s
Cloth_Leather_Paper/Parachute	Parachute (1)	1.75s
Cloth_Leather_Paper/Parachute	Parachute (2)	1.65s
Cloth_Leather_Paper/Parachute	Parachute (3)	2.98s
Cloth_Leather_Paper/Parachute	Parachute (4)	1.07s
Cloth_Leather_Paper/Parachute	Parachute (5)	5.43s
Cloth_Leather_Paper/Parachute	Parachute (6)	3.42s
Cloth_Leather_Paper/Parachute	Parachute (7)	2.14s
Cloth_Leather_Paper/Parachute	Parachute (8)	3.76s
Cloth_Leather_Paper/Parachute	Parachute (9)	2.95s
Cloth_Leather_Paper/Parachute	Parachute (10)	4.44s
Cloth_Leather_Paper/Parachute	Parachute (11)	2.46s
Cloth_Leather_Paper/Parachute	Parachute (12)	1.25s
Cloth_Leather_Paper/Rubber	Rubber (1)	1.31s
Cloth_Leather_Paper/Rubber	Rubber (2)	3.6s
Cloth_Leather_Paper/Rubber	Rubber (3)	3.5s
Cloth_Leather_Paper/Rubber	Rubber (4)	0.71s
Cloth_Leather_Paper/Rubber	Rubber (5)	2.9s
Cloth_Leather_Paper/Rubber	Rubber (6)	1.2s
Cloth_Leather_Paper/Rubber	Rubber (7)	0.6s
Cloth_Leather_Paper/Rubber	Rubber (8)	2.69s
Cloth_Leather_Paper/Rubber	Rubber (9)	0.55s
Cloth_Leather_Paper/Rubber	Rubber (10)	0.99s
Cloth_Leather_Paper/Rubber	Rubber (11)	2.09s
Cloth_Leather_Paper/Rubber	Rubber (12)	0.81s
Cloth_Leather_Paper/Shoes_Boots	Shoes Boots (1)	2.72s
Cloth_Leather_Paper/Shoes_Boots	Shoes Boots (2)	0.63s
Cloth_Leather_Paper/Shoes_Boots	Shoes Boots (3)	3.4s
Cloth_Leather_Paper/Shoes_Boots	Shoes Boots (4)	1.44s
Cloth_Leather_Paper/Shoes_Boots	Shoes Boots (5)	1.44s
Cloth_Leather_Paper/Shoes_Boots	Shoes Boots (6)	1.7s
Cloth_Leather_Paper/Shoes_Boots	Shoes Boots (7)	0.91s
Cloth_Leather_Paper/Tape	Tape (1)	2.04s
Cloth_Leather_Paper/Tape	Tape (2)	3.37s
Cloth_Leather_Paper/Tape	Tape (3)	1.31s
Cloth_Leather_Paper/Tape	Tape (4)	2.01s
Cloth_Leather_Paper/Tape	Tape (5)	1.51s
Cloth_Leather_Paper/Tape	Tape (6)	0.65s
Cloth_Leather_Paper/Tape	Tape (7)	0.65s
Cloth_Leather_Paper/Tape	Tape (8)	2.14s
Cloth_Leather_Paper/Tape	Tape (9)	1.25s
Cloth_Leather_Paper/Tape	Tape (10)	0.52s
Cloth_Leather_Paper/Tape	Tape (11)	1.18s
Cloth_Leather_Paper/Tape	Tape (12)	1.91s
Cloth_Leather_Paper/Tape	Tape (13)	3.4s
Cloth_Leather_Paper/Umbrella	Umbrella (1)	3.6s
Cloth_Leather_Paper/Umbrella	Umbrella (2)	1.12s
Cloth_Leather_Paper/Umbrella	Umbrella (3)	1.25s
Cloth_Leather_Paper/Umbrella	Umbrella (4)	0.76s
Cloth_Leather_Paper/Umbrella	Umbrella (5)	0.76s
Cloth_Leather_Paper/Umbrella	Umbrella (6)	0.42s
Cloth_Leather_Paper/Umbrella	Umbrella (7)	4.28s
Cloth_Leather_Paper/Umbrella	Umbrella (8)	1.72s
Cloth_Leather_Paper/Umbrella	Umbrella (9)	0.81s
Cloth_Leather_Paper/Umbrella	Umbrella (10)	0.94s
Cloth_Leather_Paper/Umbrella	Umbrella (11)	1.96s
Cloth_Leather_Paper/Zippers	Zippers (1)	2.38s
Cloth_Leather_Paper/Zippers	Zippers (2)	1.67s
Cloth_Leather_Paper/Zippers	Zippers (3)	0.6s
Cloth_Leather_Paper/Zippers	Zippers (4)	1.54s
Cloth_Leather_Paper/Zippers	Zippers (5)	2.4s
Cloth_Leather_Paper/Zippers	Zippers (6)	1.67s
Cloth_Leather_Paper/Zippers	Zippers (7)	2.12s
Cloth_Leather_Paper/Zippers	Zippers (8)	1.8s
Cloth_Leather_Paper/Zippers	Zippers (9)	1.57s
Cloth_Leather_Paper/Zippers	Zippers (10)	0.86s
Cloth_Leather_Paper/Zippers	Zippers (11)	3.63s
Cloth_Leather_Paper/Zippers	Zippers (12)	0.5s
Cloth_Leather_Paper/Zippers	Zippers (13)	0.99s
Cloth_Leather_Paper/Zippers	Zippers (14)	2.09s
Cloth_Leather_Paper/Zippers	Zippers (15)	0.84s
Computers/Beeps_Tones	Beeps Tones (1)	0.5s
Computers/Beeps_Tones	Beeps Tones (2)	1.67s
Computers/Beeps_Tones	Beeps Tones (3)	1.49s
Computers/Beeps_Tones	Beeps Tones (4)	1.78s
Computers/Beeps_Tones	Beeps Tones (5)	1.18s
Computers/Beeps_Tones	Beeps Tones (6)	0.34s
Computers/Beeps_Tones	Beeps Tones (7)	0.65s
Computers/Beeps_Tones	Beeps Tones (8)	1.85s
Computers/Beeps_Tones	Beeps Tones (9)	1.51s
Computers/Beeps_Tones	Beeps Tones (10)	2.04s
Computers/Beeps_Tones	Beeps Tones (11)	2.72s
Computers/Beeps_Tones	Beeps Tones (12)	1.12s
Computers/Beeps_Tones	Beeps Tones (13)	2.04s
Computers/Beeps_Tones	Beeps Tones (14)	1.51s
Computers/Beeps_Tones	Beeps Tones (15)	0.97s
Computers/Fax_Scanner_Copy_machine	Copy Machine (1)	2.15s
Computers/Fax_Scanner_Copy_machine	Copy Machine (2)	2.04s
Computers/Fax_Scanner_Copy_machine	Fax Scanner Copier (1)	4.88s
Computers/Fax_Scanner_Copy_machine	Fax Scanner Copier (2)	6.35s
Computers/Fax_Scanner_Copy_machine	Fax Scanner Copier (3)	4.57s
Computers/Fax_Scanner_Copy_machine	Fax Scanner Copier (4)	4.13s
Computers/Fax_Scanner_Copy_machine	Fax Scanner Copier (5)	4.57s
Computers/Fax_Scanner_Copy_machine	Fax Scanner Copier (6)	4.23s
Computers/Fax_Scanner_Copy_machine	Fax Scanner Copier (7)	5.02s
Computers/Fax_Scanner_Copy_machine	Fax Scanner Copier (8)	1.8s
Computers/Fax_Scanner_Copy_machine	Fax Scanner Copier (9)	4.28s
Computers/Fax_Scanner_Copy_machine	Fax Scanner Copier (10)	4.49s
Computers/Fax_Scanner_Copy_machine	Fax Scanner Copier (11)	2.09s
Computers/Fax_Scanner_Copy_machine	Fax Scanner Copier (12)	4s
Computers/Fax_Scanner_Copy_machine	Fax Scanner Copier (13)	2.93s
Computers/Fax_Scanner_Copy_machine	Fax Scanner Copier (14)	4.96s
Computers/Fax_Scanner_Copy_machine	Fax Scanner Copier (15)	3.87s
Computers/Printers	Printers (1)	4.96s
Computers/Printers	Printers (2)	6.92s
Computers/Printers	Printers (3)	2.43s
Computers/Printers	Printers (4)	3.27s
Computers/Printers	Printers (5)	2.35s
Computers/Printers	Printers (6)	2.25s
Computers/Printers	Printers (7)	0.91s
Computers/Printers	Printers (8)	4.78s
Computers/Printers	Printers (9)	3.47s
Computers/Printers	Printers (10)	3.08s
Computers/Printers	Printers (11)	1.02s
Computers/Printers	Printers (12)	2.66s
Computers/Printers	Printers (13)	3.19s
Computers/Printers	Printers (14)	3.79s
Computers/Screens	Screens (1)	0.39s
Computers/Screens	Screens (2)	0.91s
Computers/Screens	Screens (3)	1.1s
Computers/Screens	Screens (4)	1.41s
Computers/Screens	Screens (5)	3.21s
Computers/Screens	Screens (6)	2.66s
Computers/Screens	Screens (7)	1.57s
Computers/Screens	Screens (8)	3.03s
Computers/Screens	Screens (9)	3.06s
Computers/Screens	Screens (10)	0.37s
Computers/Screens	Screens (11)	4.21s
Computers/Screens	Screens (12)	1.31s
Computers/Screens	Screens (13)	2.09s
Computers/Screens	Screens (14)	1.54s
Computers/Typing	Typing (1)	2.93s
Computers/Typing	Typing (2)	3.81s
Computers/Typing	Typing (3)	3.03s
Computers/Typing	Typing (4)	2.19s
Computers/Typing	Typing (5)	2.51s
Computers/Typing	Typing (6)	3.87s
Computers/Typing	Typing (7)	6.03s
Computers/Typing	Typing (8)	3.92s
Computers/Typing	Typing (9)	4.15s
Computers/Typing	Typing (10)	2.38s
Computers/Typing	Typing Medium (1)	2.11s
Computers/Typing	Typing Medium (2)	1.97s
Computers/Typing	Typing Short (1)	0.89s
Computers/Typing	Typing Short (2)	0.96s
Computers/Typing	Typing Typewriter (1)	1.32s
Doors/Doors_Cars	Cars (1)	0.99s
Doors/Doors_Cars	Cars (2)	1.78s
Doors/Doors_Cars	Cars (3)	2.43s
Doors/Doors_Cars	Cars (4)	2.43s
Doors/Doors_Cars	Cars (5)	1.96s
Doors/Doors_Cars	Cars (6)	1.72s
Doors/Doors_Cars	Cars (7)	1.72s
Doors/Doors_Cars	Cars (8)	1.04s
Doors/Doors_Cars	Cars (9)	0.89s
Doors/Doors_Cars	Cars (10)	1.04s
Doors/Doors_Cars	Cars (11)	1.72s
Doors/Doors_Cars	Cars (12)	2.48s
Doors/Doors_Cars	Cars (13)	0.65s
Doors/Doors_Cars	Cars (14)	2.27s
Doors/Doors_Cars	Cars (15)	0.86s
Doors/Doors_Cellar	Cellar (1)	1.67s
Doors/Doors_Cellar	Cellar (2)	0.71s
Doors/Doors_Cellar	Cellar (3)	1.15s
Doors/Doors_Cellar	Cellar (4)	2.04s
Doors/Doors_Glass	Glass (1)	0.99s
Doors/Doors_Glass	Glass (2)	1.62s
Doors/Doors_Glass	Glass (3)	1.65s
Doors/Doors_Glass	Glass (4)	0.78s
Doors/Doors_Glass	Glass (5)	1.18s
Doors/Doors_Glass	Glass (6)	1.96s
Doors/Doors_Glass	Glass (7)	1.07s
Doors/Doors_Glass	Glass (8)	0.86s
Doors/Doors_Glass	Glass (9)	1.33s
Doors/Doors_Handles	Handle (1)	0.97s
Doors/Doors_Handles	Handle (2)	0.99s
Doors/Doors_Handles	Handle (3)	0.71s
Doors/Doors_Handles	Handle (4)	1.57s
Doors/Doors_Handles	Handle (5)	3.03s
Doors/Doors_Handles	Handle (6)	0.91s
Doors/Doors_Handles	Handle (7)	0.91s
Doors/Doors_Handles	Handle (8)	1.18s
Doors/Doors_Handles	Handle (9)	0.76s
Doors/Doors_Handles	Handle (10)	0.73s
Doors/Doors_Handles	Handle (11)	0.63s
Doors/Doors_Handles	Handle (12)	1.2s
Doors/Doors_Handles	Handle (13)	0.78s
Doors/Doors_Handles	Handle (14)	0.52s
Doors/Doors_Handles	Scifi Door Open (1)	1.14s
Doors/Doors_High_Tech	High Tech (1)	5.02s
Doors/Doors_High_Tech	High Tech (2)	4.99s
Doors/Doors_High_Tech	High Tech (3)	4.78s
Doors/Doors_High_Tech	High Tech (4)	4.36s
Doors/Doors_High_Tech	High Tech (5)	2.01s
Doors/Doors_High_Tech	High Tech (6)	3.27s
Doors/Doors_High_Tech	High Tech (7)	4.88s
Doors/Doors_High_Tech	High Tech (8)	2.14s
Doors/Doors_High_Tech	High Tech (9)	2.3s
Doors/Doors_High_Tech	High Tech (10)	2.93s
Doors/Doors_High_Tech	High Tech (11)	4.73s
Doors/Doors_High_Tech	High Tech (12)	4.44s
Doors/Doors_High_Tech	High Tech (13)	2.14s
Doors/Doors_High_Tech	High Tech (14)	2.27s
Doors/Doors_High_Tech	High Tech (15)	3.74s
Doors/Doors_High_Tech	Scifi Door Open (2)	1.71s
Doors/Doors_High_Tech	Scifi Door Open (3)	1.14s
Doors/Doors_High_Tech	Scifi Door Open (4)	1.86s
Doors/Doors_High_Tech	Scifi Door Open (5)	1.25s
Doors/Doors_High_Tech	Scifi Motor Short 1x (1)	1.1s
Doors/Doors_High_Tech	Scifi Open Airlock (1)	7.73s
Doors/Doors_Key_Lock	Key Lock (1)	2.04s
Doors/Doors_Key_Lock	Key Lock (2)	3.94s
Doors/Doors_Key_Lock	Key Lock (3)	1.15s
Doors/Doors_Key_Lock	Key Lock (4)	2.27s
Doors/Doors_Key_Lock	Key Lock (5)	4.13s
Doors/Doors_Key_Lock	Key Lock (6)	2.72s
Doors/Doors_Key_Lock	Key Lock (7)	1.28s
Doors/Doors_Key_Lock	Key Lock (8)	0.57s
Doors/Doors_Key_Lock	Key Lock (9)	3.45s
Doors/Doors_Key_Lock	Key Lock (10)	2.12s
Doors/Doors_Key_Lock	Key Lock (11)	0.6s
Doors/Doors_Key_Lock	Key Lock (12)	0.81s
Doors/Doors_Knocks	Knocks (1)	1.2s
Doors/Doors_Knocks	Knocks (2)	1.23s
Doors/Doors_Knocks	Knocks (3)	1.67s
Doors/Doors_Knocks	Knocks (4)	2.48s
Doors/Doors_Knocks	Knocks (5)	1.54s
Doors/Doors_Knocks	Knocks (6)	2.43s
Doors/Doors_Knocks	Knocks (7)	1.38s
Doors/Doors_Knocks	Knocks (8)	1.93s
Doors/Doors_Knocks	Knocks (9)	1.02s
Doors/Doors_Knocks	Knocks (10)	1.31s
Doors/Doors_Knocks	Knocks (11)	1.04s
Doors/Doors_Knocks	Knocks (12)	1.36s
Doors/Doors_Knocks	Knocks (13)	0.73s
Doors/Doors_Knocks	Knocks (14)	1.18s
Doors/Doors_Knocks	Knocks (15)	1.28s
Doors/Doors_Locker_Doors	Locker Doors (1)	5.77s
Doors/Doors_Locker_Doors	Locker Doors (2)	2.64s
Doors/Doors_Locker_Doors	Locker Doors (3)	2.61s
Doors/Doors_Locker_Doors	Locker Doors (4)	3.47s
Doors/Doors_Locker_Doors	Locker Doors (5)	3.08s
Doors/Doors_Locker_Doors	Locker Doors (6)	3.4s
Doors/Doors_Locker_Doors	Locker Doors (7)	3.87s
Doors/Doors_Locker_Doors	Locker Doors (8)	3.29s
Doors/Doors_Locker_Doors	Locker Doors (9)	2.51s
Doors/Doors_Locker_Doors	Locker Doors (10)	0.84s
Doors/Doors_Locker_Doors	Locker Doors (11)	2.38s
Doors/Doors_Locker_Doors	Locker Doors (12)	1.65s
Doors/Doors_Metal	Metal (1)	4.41s
Doors/Doors_Metal	Metal (2)	2.04s
Doors/Doors_Metal	Metal (3)	3.08s
Doors/Doors_Metal	Metal (4)	1.85s
Doors/Doors_Metal	Metal (5)	2.9s
Doors/Doors_Metal	Metal (6)	1.78s
Doors/Doors_Metal	Metal (7)	1.31s
Doors/Doors_Metal	Metal (8)	1.07s
Doors/Doors_Metal	Metal (9)	1.51s
Doors/Doors_Metal	Metal (10)	1.33s
Doors/Doors_Metal	Metal (11)	0.97s
Doors/Doors_Metal	Metal (12)	4.08s
Doors/Doors_Metal	Metal (13)	1.38s
Doors/Doors_Metal	Metal (14)	2.25s
Doors/Doors_Metal	Metal (15)	4.47s
Doors/Doors_Prison	Prison (1)	3.37s
Doors/Doors_Prison	Prison (2)	1.65s
Doors/Doors_Prison	Prison (3)	5.17s
Doors/Doors_Prison	Prison (4)	6.19s
Doors/Doors_Prison	Prison (5)	1.41s
Doors/Doors_Prison	Prison (6)	2.82s
Doors/Doors_Prison	Prison (7)	4.34s
Doors/Doors_Prison	Prison (8)	1.41s
Doors/Doors_Prison	Prison (9)	4.68s
Doors/Doors_Prison	Prison (10)	2.43s
Doors/Doors_Prison	Prison (11)	2.12s
Doors/Doors_Prison	Prison (12)	2.79s
Doors/Doors_Prison	Prison (13)	2.14s
Doors/Doors_Prison	Prison (14)	2.32s
Doors/Doors_Regular	Regular (1)	2.46s
Doors/Doors_Regular	Regular (2)	0.81s
Doors/Doors_Regular	Regular (3)	3.6s
Doors/Doors_Regular	Regular (4)	3.71s
Doors/Doors_Regular	Regular (5)	2.04s
Doors/Doors_Regular	Regular (6)	1.93s
Doors/Doors_Regular	Regular (7)	0.99s
Doors/Doors_Regular	Regular (8)	1.83s
Doors/Doors_Regular	Regular (9)	2.85s
Doors/Doors_Regular	Regular (10)	3.16s
Doors/Doors_Regular	Regular (11)	2.12s
Doors/Doors_Regular	Regular (12)	1.18s
Doors/Doors_Regular	Regular (13)	1.51s
Doors/Doors_Regular	Regular (14)	0.94s
Doors/Doors_Regular	Regular (15)	1.2s
Doors/Doors_Regular	Regular (16)	2.12s
Doors/Doors_Regular	Regular (17)	2.93s
Doors/Doors_Regular	Regular (18)	1.36s
Doors/Doors_Regular	Regular (19)	1.46s
Doors/Doors_Screen_Doors	Screen Doors (1)	3.16s
Doors/Doors_Screen_Doors	Screen Doors (2)	6.01s
Doors/Doors_Screen_Doors	Screen Doors (3)	2.35s
Doors/Doors_Screen_Doors	Screen Doors (4)	2.74s
Doors/Doors_Screen_Doors	Screen Doors (5)	2.35s
Doors/Doors_Screen_Doors	Screen Doors (6)	0.71s
Doors/Doors_Screen_Doors	Screen Doors (7)	1.1s
Doors/Doors_Screen_Doors	Screen Doors (8)	1.46s
Doors/Doors_Screen_Doors	Screen Doors (9)	1.2s
Doors/Doors_Screen_Doors	Screen Doors (10)	1.41s
Doors/Doors_Screen_Doors	Screen Doors (11)	2.14s
Doors/Doors_Screen_Doors	Screen Doors (12)	1.51s
Doors/Doors_Screen_Doors	Screen Doors (13)	1.25s
Doors/Doors_Screen_Doors	Screen Doors (14)	1.54s
Doors/Doors_Squeaky	Squeaky (1)	4.23s
Doors/Doors_Squeaky	Squeaky (2)	2.4s
Doors/Doors_Squeaky	Squeaky (3)	4.13s
Doors/Doors_Squeaky	Squeaky (4)	2.46s
Doors/Doors_Squeaky	Squeaky (5)	2.77s
Doors/Doors_Squeaky	Squeaky (6)	1.78s
Doors/Doors_Squeaky	Squeaky (7)	2.98s
Doors/Doors_Squeaky	Squeaky (8)	3.92s
Doors/Doors_Squeaky	Squeaky (9)	1.85s
Doors/Doors_Squeaky	Squeaky (10)	2.77s
Doors/Doors_Squeaky	Squeaky (11)	1.62s
Doors/Doors_Squeaky	Squeaky (12)	4.02s
